title,price,area,location,status
2 BHK Apartment in Amanora Sterling Towers R4,"36,000",1036,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Adreno Towers,"32,000",975,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Amanora Future Towers,"45,000",1200,"Hadapsar, Pune",Unfurnished
1 BHK Apartment in Amanora Future Towers,"28,000",614,"Hadapsar, Pune",Furnished
1 BHK Apartment in Amanora Future Towers,"22,000",614,"Hadapsar, Pune",Unfurnished
1 BHK Apartment in Amanora Adreno Towers,"24,000",550,"Hadapsar, Pune",Unfurnished
1 BHK Apartment in Amanora Trendy Homes,"27,000",650,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Adreno Towers,"37,000",1136,"Hadapsar, Pune",Furnished
3 BHK Apartment in Amanora Gateway Tower 100,"58,000",1405,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Amanora Adreno Towers,"35,000",1136,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Amanora Future Towers,"32,000",975,"Hadapsar, Pune",Unfurnished
1 BHK Apartment,"17,000",700,"Wagholi, Pune",Semi-Furnished
3 BHK Apartment in Kolte Patil Langston,"45,000",1850,"Kharadi, Pune",Unfurnished
3 BHK Apartment in Kolte Patil Tuscan Estate Signature Meadows,"60,000",2010,"Kharadi, Pune",Furnished
1 BHK Apartment in Mind Queenstown,"20,000",500,"Chinchwad, Pune",Furnished
2 BHK Apartment in Magarpatta Jasminium,"40,000",1200,"Hadapsar, Pune",Furnished
2 BHK Apartment in Magarpatta Iris,"30,000",950,"Hadapsar, Pune",Unfurnished
1 BHK Apartment in Amanora Adreno Towers,"27,000",600,"Hadapsar, Pune",Furnished
2 BHK Independent Floor,"20,000",900,"Karve Nagar, Pune",Semi-Furnished
4 BHK Apartment in Shubh Gateway,"60,000",1850,"Viman Nagar, Pune",Unfurnished
2 BHK Apartment in Vascon Forest County,"38,000",1300,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Bramha Suncity Platinum,"55,000",1800,"Wadgaon Sheri, Pune",Furnished
